,content,author
374,"""*thruth*” - Ritvik
""That's cause you're blind sucker"" - Ritvik *to himself*
""I DON'T SAY ""BLEH BLEH BLEH"" - Ritvik",MuffinHead
375,"""Anyone that doesn't laugh cry is lame"" - Mx. Merza",MuffinHead
376,"""I laugh cry"" - Marxist (Mx.) Merza",MuffinHead
377,"""That was quick"" - Karthik, ""Thats what she said"" - Ahmed",Memebrane
378,“Someone’s violating my nostrils” - Cassie,braindead
379,"""im a interstellar pedo"" - Mathew",Ritvikisalive
380,"""Ur sexting?????????"" - Ameera",Ritvikisalive
381,"""and then there where three"" - Ameera",Ritvikisalive
382,“ you can do me too “ -Ameera to Ahmed,Aarohi
383,"""Maybe we should-"" - Karthik ""NO!!"" - Zaid",Ritvikisalive
384,"""can u say hi to karthik"" - Ameera ""NO!"" - Zaid",Ritvikisalive
385,"""good night zaid"" *practocally crying* - Karthik",Ritvikisalive
386,"""AgAiNNNNnnNNNNN!!!"" - Zaid",Ritvikisalive
387,"*Virtually hugs zaid* - Cassie ""THAT WAS THE MOST ADORABLE THING IVE EVER SEEN"" - Ritvik *in mind cause muted hehehehehe*",Ritvikisalive
388,"""Oh you like my sesame street pj's"" - Cassie",Ritvikisalive
389,"""Wait what chicken?""- Ameera",NitroNith
390,"""well ameeras wearing nothing"" - Noel",Ritvikisalive
391,"""I can't believe my brother cant do math I mean he just looks at the sheet for example like 7 x 3, that's 21...(right??)"" - Grace 
*dies of laughter* - Cassie 
*dies of embarrassment* - Grace",Briannafr
392,"“We got this, bois! Physics is a lie” *changes tone to a ghostly whisper that lowkey is hilarious* “issa lieeeeee..” ~some random ass dude studying at the library",WaltDisini
393,I beat the wind up - Mr. Phillips,NitroNith
394,“*Dying goat noises*” - Shyam,MuffinHead
395,“I cringe every time I remember” - Cassie,Ritvikisalive
396,"“ I would gladly aarohi, I would gladly if I could” - ameera",Aarohi
397,“ you could eat mine tho “ - aarohi,Aarohi
398,"“I wish, it’s cherries 🍒”-Ameera",Aarohi
399,“What are you eating? Is it me?” -Aarohi,Aarohi
400,"""But a tv show featuring Karthik
Without him knowing
Would be hilarious
Oh wait that sounds like a p0rno"" - AArohi ( aka double AA batteries)",Ritvikisalive
401,“A pinch is like the bomb without the bomb” - Bash (from ocean’s 11),MuffinHead
402,“Good grades make you horny” -Ahmed Zeee,Aarohi
403,"""all you short people are intertwined- Wait that sounds weird"" -Cassie",WaltDisini
404,"""Seeing as my hair is my hair"" - Ameera",Ritvikisalive
405,"""Oh hey look my hairs drying"" - Ameera",Ritvikisalive
406,"""Ok i need you to stop transforming into animals"" - Ameera",Ritvikisalive
407,"""There once was a boy named carrot destined to be a ... vegetable"" - Ritvik",Ritvikisalive
408,"""1. I'll be too loud or 2. ill break smth"" - Ameera",Ritvikisalive
409,"""Ya im texting my mum cause shes in her room"" - Ameera",Ritvikisalive
410,"""Now you sound like a french Baguette"" - Ameera",Ritvikisalive
411,"""The quoter says yes"" - Ritvik",Ritvikisalive
412,"""*Ritvik makes donkey noises* Who the hell is moaning like a donkey"" - Ameera",MuffinHead
413,“Ahmed turns jokes into jokes” - Karthik,braindead
414,"""Hi your burning, Oh your also burning"" - Karthik",Ritvikisalive
415,"""Where is 7.7?"" - Karthik ""idk next to 7.6"" - Ritvik",Ritvikisalive
416,"""I passed kindergarten"" - Karthik",Ritvikisalive
417,"""Wait i can count"" - Karthik",Ritvikisalive
418,"""AHHHHHHHHHHHH *falls of poorly made bridge* """" HELLO"" - Ritvik",Ritvikisalive
419,"*Karthik on fire* ""YA GOOD M8?????????????"" - Ritvik",Ritvikisalive
420,"""I might need slight mental help *proceeds to make villager noises*"" - Ritvik",MuffinHead
421,"""🎵 There once was a wall in a house, destined to be a wall. His house was built by WALL-demort who gave him a lightning scar 🎵 "" - Ritvik",MuffinHead
422,"""Im really high on rock Mellons"" - Karthik",Ritvikisalive
423,"""What a wonderful way to start the day, wait its 5:35pm"" - Karthik",Ritvikisalive
424,"""its been less then two seconds and you already have two quotes"" - Ritvik",Ritvikisalive
425,"""IT GREW LEGS"" - Karthik",Ritvikisalive
426,"*Joins call* ""I'm HiGh"" - Karthik",Ritvikisalive
427,*random kid asks question* “Write this down dont think!! We’ll think when we get to the next part”,braindead
428,“When transforming from the x axis~ you do sOmEtHiNg to the whole equation”,braindead
429,“The words on that question make no sense~ *just dont think*- wAiT what did i just sAy..?” - my hot mAth tutor ✨😩,braindead
430,"""oUi OuI"" - Ritvik",MuffinHead
431,"""That's not Transylvanian that's French"" - Karthik",MuffinHead
432,"""i just risotto"" - Karthik",Ritvikisalive
433,“The hot chocolate is hot” - Karthik,Ritvikisalive
434,“My aunt gave birth like yesterday” - Ritvik,braindead
435,“U have a garage???”  - Ameera,Ritvikisalive
436,"""Non related school stuff"" - Ameera",Ritvikisalive
437,“No that’s a calculator Zaid” - Ameera,Ritvikisalive
438,“I am to tired to go to bed” - Ameera,Ritvikisalive
439,“Look it’s a plant it gives you H20 and oceans give you O2” - ritvik,Memebrane
440,"""Nice skeleton oh wait sorry fish""-Ameera",Briannafr
441,"""How do I spell your name- sorry I-"" -Ameera",Briannafr
442,“Oml i jUsT texted him bruh and he hasnt responded its been like 30 seconds” - Cassie,braindead
443,“Meera meera on the wall are you in the class next door” - Ritvik,Ritvikisalive
444,“Ill get that smexy police officer who works for supreme” - Casie,Ritvikisalive
445,“You have them on hotmail??????” - Ritvik,Ritvikisalive
446,"""im going to delete notion from this browsing website"" - Cassie",Ritvikisalive
447,"""im deciding your future for u"" - Cassie",Ritvikisalive
448,"""codes gonna wrap"" - Cassie",Ritvikisalive
449,"“She says she loves to tutor all the time heheh, i think she’s just lonely” - Cassie",braindead
450,*in sync dying of laughter and coughing* - ameera & Casie,Briannafr
451,"""ARRgGg-"" *falls off chair immediately after* -Ameera",Briannafr
452,"*falls off bed in laughter* ""hUuHeuHuE I Just fell off the be.."" *muffled giggles and murmers* - Ameera",Briannafr
453,"""So if a person is trans they'd have to change fingers too??????"" -Ameera",Briannafr
454,"“Do you see the heart?” - cassie, “yeah its what i stole from you” *wink wink* - ameera, “was that supposed to be smooth bc it was rOcKy” - cas, “OMG I SEE A PEEEPEE~ are ya ready kids~ uhm~ SPONGE BOB SQUARE PANTS~ *random japanese*” - Cas",braindead
455,,Briannafr
456,“I see among us in the tree~ dun dun dUn” - Cassie,braindead
457,“Why tf is Mr McKinnon straight up trying to establish a dictatorship” - Karthik,braindead
458,"""I would quote you but im to busy being smart"" - Cassie
""we are all sane here"" - Cassie
""SpEaK fOr YoUrSeLf"" - Ritvik
""stop quoting me if you quote that im going to stab you"" - Cassio
""I have no motivation to protest"" - Cassie
""I accidently gave him a concosuion"" - Cassie
""OMG SHES A MAGIC MUSHROOM IN DISGUISE"" - Ritvik
""Gay soul"" - Cassie",Ritvikisalive
459,"""Sssssssshuuuuuuuu - speak up"" - Ameera",Ritvikisalive
460,"""facts""- Nitanth",NitroNith
461,"""You guys were like dying that day"" - Mathew",Ritvikisalive
462,"""I'm such a screw up"" - Nitanth",Ritvikisalive
463,"""I just try hard"" - Ameera ""Oh ur a try-hard are you"" - Ritvik",Ritvikisalive
464,"""I'll be sad that im not wasting money, I LOVE WASTING MONEY im very good at it"" - Srujani",Ritvikisalive
465,- random video mr mcfarlane entertained us with :D,braindead
466,"""well because they can look smart while reading words and the minister can talk about how great he is- so its a win win""",braindead
467,"""why do they continue this pantomime?""",braindead
468,"""they read off of a script- so they cant say anything meaningful""",braindead
469,"""You should take a break from life"" - Cassie ""So you want me to die?????????????*says that in a British accent whilst saying deer every three words*"" - Ritvik",TheRedPegasus
470,“sir i started speaking british irish and american in 3 seconds after my teacher stopped talking” - Ritvik,MuffinHead
471,ME,braindead
472,,braindead
473,"“Its called *insert med name*” - Ameera, *Finds chemical formula* ~ Taejus",braindead
474,"""sleep dreams"" - taejussy",Briannafr
475,"""I love myself"" - Ameera
*literally seconds later* ""I hate myself I did it wrong"" - Ameera",MuffinHead
476,,Memebrane
477,,Memebrane
478,“People are hard” - Roro,braindead
479,"“Oh my god, you’re curling yourself” -Ameera the Bootiful queen",Aarohi
480,“That man is a pile of cheese at this point- Cause all of his pick up lines are cheesy” - Ritvik,Aarohi
481,"""4+6 = Merza Ameera"" - Ritvik",Ritvikisalive
482,"""iT'S a TruCk oN tHe tRucK!"" - Taejus",MuffinHead
483,“I would love to have you” - the epic loser,the epic loser
484,"“A winner was once a loser who tried again, And I am one of them”",braindead
485,“I know- im very temptatious” - Roro *with full confidence*,braindead
486,“I’m basically white ;)”,braindead
487,“I would prefer to stay white 💅” - Roro,braindead
488,"“Should i work?”, “i mean its basically free money..” - Roro",braindead
489,"""Is that a talk box"" - Cassie",TheRedPegasus
490,"""H is after E"" - Taejus",MuffinHead
491,“My brain cells were processing” - Ameera,Ritvikisalive
492,“Karthik motives” - Ameera,Ritvikisalive
493,“I don’t know who kirmin is but imma go pass out” - Ahmed,Ritvikisalive
494,"""The pUmPiNeSs in my voice?"" - Ameera",MuffinHead
495,"""You actually agreed to me for once"" - Ameera",Ritvikisalive
496,"""why be in a mood at all"" - Ameera",Ritvikisalive
497,"""I aM jUsT hApPy"" - Ahmed",Ritvikisalive
498,"""Someone ask you out?"" - Karthik",Ritvikisalive
499,"""bloody demon"" - Ameera",Ritvikisalive
500,"""Cya tonight' - Ameera",Ritvikisalive
501,"""I'm going high now i better go"" - Ameera",Ritvikisalive
502,"""I'm watching this man eat carrots"" - Ameera",Ritvikisalive
503,"""why the hell are you good at flirting"" - Ameera",NitroNith
504,"""ameera im not Shakespeare but i can quote us together"" - Nitanth",Ritvikisalive
505,"""You frickn meatloaf"" - Nitanth ""You frickn Steak"" - Nitanth
""Just look at u ur a freaking steak, then look at your brother he's a frickn meal"" - Nitanth",Ritvikisalive
506,"""She's so smooth she just slipped into my heart"" - Nitanth",Ritvikisalive
507,"""awwwwwww that'd be cute"" - Ameera",Ritvikisalive
508,"""I can tell when a girl is smooth as butter"" - Nitanth",Ritvikisalive
509,"""I have to go now my smooth as butter"" - Nitanth",Ritvikisalive
510,"""YeArBoOk"" - Ritvik",Ritvikisalive
511,"""TeLePaThY"" - Karthik",Ritvikisalive
512,"""its called SeArChInG bEyAtCh"" - Ritvik",Ritvikisalive
513,"""Whos dave"" - Ameera",Ritvikisalive
514,"""We DoNt TaLk AbOuT bReNtwOoD nO nO"" - Ritvik",Ritvikisalive
515,"""BRENTWOOD IS US BUT DUMMER"" - Ameera",Ritvikisalive
516,"""It started off as a hobby"" - Disha",TheRedPegasus
517,"""I love murdering dogs"" - Disha",TheRedPegasus
518,"""Can you like self die"" - Cassie",TheRedPegasus
519,"""can you press the minus sign on ur life real quick"" - Cassie",TheRedPegasus
520,"""Can you exit your life real quick"" - Cassie",TheRedPegasus
521,"""Isnt nitanth already married to sahib????????????????????????????????????????????????????????????????"" - Cassie",TheRedPegasus
522,"""shoeshi"" - Mr Chen-Ki",Ritvikisalive
523,“I really appreciate it DO U LIKE FOOD” - Joy,Ritvikisalive
524,“Oh I love concre- OH SHIT” - Nandini,Ritvikisalive
525,“That was the former president of the United States DONALD DUCK” - Ami,Ritvikisalive
526,“What did I tell you bout using cheat codes” - Ritvik,Ritvikisalive
527,"""waves in tired"" - Ritvik",Ritvikisalive
528,"""im sorry ok im tired"" - Ameera",Ritvikisalive
529,“Waves in thumbs” - Ritvik,Ritvikisalive
530,"""TeLl ThE dEcApItAtEd EmOtIoN"" - Ritvik",Ritvikisalive
531,“I sound like a demented squirrel on crack in a video lol” - Zoe,Ritvikisalive
532,“Himalay get some headphones”- Karthik “Ok *proceeds to turn volume to max*” - Himalay,MuffinHead
533,- Ritvik,TheRedPegasus
534,"""well that was a bit late dont u think"" - Ritvik",Ritvikisalive
535,"""It's Cassie proof"" - Ritvik",Ritvikisalive
536,"""then they eventually come round full circle
WhEn I lIve In A tRiAnGlE"" - Ritvik",Ritvikisalive
537,"“Bear?, Boba????” - Joy",Ritvikisalive
538,"""uabtch.exe"" - Cassie",Briannafr
539,"""😭  i 🙉 brok 😩 ma 🤶 bOOooNEE 🏳️‍🌈"" - Grace",Briannafr
540,"""They smash harder"" - Dr Cook (My chem teacher)",MuffinHead
541,"""Wheres my book?"" - Cassie *At the same time is casually laying her elbow on said book*",Ritvikisalive
542,"""U and I will run away"" - Joy",Ritvikisalive
543,"""the glue is starting to fade"" - Cassie",Ritvikisalive
544,"""Dont look at me with those innocent eyes when you say that"" - Cassie",Ritvikisalive
545,"""oh yeah if you kill me im so gonna kill you back"" - CaS",braindead
546,"""why are all the roles karen themed"" - Ritvik",Ritvikisalive
547,"""I was born dead"" - Cassie",Ritvikisalive
548,"""Ya i got them on quick dial"" - Cassie",Ritvikisalive
549,"""If you murder me im going to sue you"" - Cassie",Ritvikisalive
550,"""I just like..... nailed you"" - Ameera",Briannafr
551,"""wow look at me im so cool, i can break my bones while opening my hands 👀 "" - Ahmed",braindead
552,"""it is data' - Ahmed, ""you are data"" - Ameera, ""..thanks..?"" - Ahmed",braindead
553,"""Shushing in progress
Please do not turn off your computer"" - Karthik",Ritvikisalive
554,"""Alive for- wait hold up I'm supposed to be alive???"" - Karthik",Ritvikisalive
555,*catches a bunch of mosquitos in under a minute* “Im so attractive that even mosquitos are attracted to me- like thats how hot i am” - Cassie,braindead
556,"""Don't upside down planes fall because of gravity????"" -Ameera",Briannafr
557,"“What do you want to eat tmr” - Ameera, “we dont usually eat anything” - Cassie",braindead
558,"""My mental stability"" - Ritvik",Ritvikisalive
559,"""Whos not here"" - Mr Nguyen",Ritvikisalive
560,"""Why is common decency so hot???"" -amee",Briannafr
561,"""SaUcY bOy"" - Zoe",Ritvikisalive
562,"""SpeArShAkE"" - Ritvik",Ritvikisalive
563,"*texting* ""yum"" - Grace",braindead
564,"""yes dogs are yummy ;)"" - Cassie",braindead
565,*Has two mics on and talking* .*speakers EcHo EcHo EcHo* - Mr Nguyen,TheRedPegasus
566,"""yOurE beautiful"" - Ameera",Briannafr
567,"*looks at beautiful master piece of a quote* ""Beautiful"" - Cassie",Briannafr
568,"""your master piece of quotiness"" - Ameera",Briannafr
569,"""CASSIE UR THE MOSTAMAZING PERSON ON THIS PLANT"" - Ameera",Briannafr
570,"*show's Zoe my elbow* ""It's pretty :D"" - Zoe",WaltDisini
571,“WE SHARE SAME BRAIN CELL” - Cassidy,braindead
572,“Where art thou” - Cassie,braindead
573,“Where art thou bestio” - Ameera,Briannafr
574,"""did you just molest my hand..???"" - Cassie",braindead
575,"""I just walked into a pilgrimage"" - Ameera",Memebrane
576,“I sAnG iT iN bRiTiSh!!!” - David,MuffinHead
577,"""I have more car"" - Cassie",Ritvikisalive
578,"""CoP tHaT wHiTeBoArD"" - Mr Mann",MuffinHead
579,*Excessive tapping of IWB* - Mr Mann,MuffinHead
580,"""The only thing being heated is you.... cuz ur hot"" - Disini",Briannafr
581,"""I'm calling you dominant... wait no-"" - Disini",Briannafr
582,*in synced gasp* - Disini and Cassie,Briannafr
583,“How do I decrease the saturation of compass?” - Alan (ln),MuffinHead
584,“Why did they increase the saturation of compass?” - Alan,MuffinHead
585,"""Chem is just better"" - Ameera, ""Oh my- YOU KNOW I CAN CREATE A NUCLEAR BOMB?!?"" - Ahmed, ""nuclear physics is basically chem.."" - Ameera, ""SHUT UP SHut UP"" - Ahmed (*turns into henry higgins*)",braindead
586,“O sacred fuckwit” - Karthik,Ritvikisalive
587,“*achievement unlocked : Seasons*” - Ritvik,Ritvikisalive
588,“*achievement unlocked : Time zones*” - Ritvik,Ritvikisalive
589,“Oh lol Soz I was typing with one finger” - Nith,braindead
590,*accidentally typed bed instead of bee* -Ritvik,Ritvikisalive
591,“Ya I have a pet bee now” - Ameera,Ritvikisalive
592,“I’ll straighten anything for you ;)” - Nitanth,braindead
593,“Most of them are friends from my old friend *trying to say school*” - Karthik,MuffinHead
594,"**loud clapping**,, ""oh my god did somebody die??"" *fangirling* - Mathew",braindead
595,"""how'd you get it down t h e r e ??"" - Mathew",braindead
596,"""omg ali your hair looks so good"" *stares* - *realises* ""not YOUR ali, MY ali"" - Roro",braindead
597,"""did you just get run over..?"" - Ritvik",braindead
598,"""Some things need to die, and that's one of them"" -cassie",WaltDisini
599,"""Really? You didnt just come out of the womb and go like ""*picassooooo*""? 🤌 -cassie",WaltDisini
600,*spams herself on zoom* - Cassie,TheRedPegasus
601,"""i am thief because i am hear to steal ur heart"" - Nitanth",TheRedPegasus
602,"*Unknown class entered the chat* ""EEEEEEEEEEEEEEEE"" - Unknown class",TheRedPegasus
603,*Nodding head vigorously* - Cassie,TheRedPegasus
604,"""Are you flexing that you have two white outs"" - Ritvik",TheRedPegasus
605,"""Idc fuck the English language"" - Ritvik",Briannafr
606,“I’m not gonna dominate some primary school kid” - Cameron,MuffinHead
607,“I’m gonna get *techniqued* on” - Julian,MuffinHead
608,"""Ameera meera on the wall, who's the fairest of them all"" -Cassie",WaltDisini
609,"""HEY aposal of santa is a good quote"" - Cassie",TheRedPegasus
610,"""The terms and conditions said i cant give u any soz"" - Cassie",TheRedPegasus
611,"""I've hidden them away in my secret vault"" - Cassie",TheRedPegasus
612,"""Santa knew i really wanted white out"" - Cassie",TheRedPegasus
613,"""santa gave them to me"" - Cassie",TheRedPegasus
614,"""Ameera: 
25th August 2005 i think"" - Ameera",TheRedPegasus
615,"""I have ten whiteouts in my draw"" - Cassie",TheRedPegasus
616,"""i have a problem"" - Cassie",TheRedPegasus
617,"""Case-iy"" - Mr Ho",TheRedPegasus
618,"""Who the fuck is Zaid"" - Cassidy",TheRedPegasus
619,"""The spawn of Satan has arrived"" - Ritvik",TheRedPegasus
620,“I’m the server” -Taejus,MuffinHead
621,"“I got bitten” - My dad, “by Zaid??” - Shahm, “no… by an insect 👀” - dad",braindead
622,"“Oooo my eyelashes are pretty, Never mind I take that back” - Ameera",Ritvikisalive
623,"""wHaT aM i GoNnA tElL tHe KiDs, I mAdE a DrUg iN mY dAyS"" - Ritvik",Ritvikisalive
624,"""We gave him a drug"" - Ameera",Ritvikisalive
625,"""fUcK, i MaDe A dRuG"" - Ritvik",Ritvikisalive
626,“8:00 I have ramen for dinner” - Mathew,Ritvikisalive
627,"“Goddamn, biomechanics that does sound hot” -Taejus",Aarohi
628,"""I'm high on a pen"" - Taejus",MuffinHead
629,"""You would get stoned by a pen"" - Shyam",MuffinHead
630,"""Breadboi"" - Cassie",TheRedPegasus
631,"""BiEcH"" - Cassie",TheRedPegasus
632,“You snorting duck food or something?” -Taejus,braindead
633,“BRINGE” - Ameera,Ritvikisalive
634,“I blackmailed my parents” - Mathew,Ritvikisalive
635,“I thought she was ded” - Ameera,Ritvikisalive
636,“I forgot how many wives I have” - Ameera,Ritvikisalive
637,"""Do you want to be slapped?"" -Ritvik ""yes... wai-"" -Ameera",Briannafr
638,"""How Karthik Inc. increased in market value by 69420%"" - CBA conducted by Jesus and Princess",MuffinHead
639,“U tHiNk I HisToRy bItCh” - Ritvik,braindead
640,“The sas levels are way to high to calculate” - Ritvik,braindead
641,"""Cassie stop pressing buttons"" - Ritvik",TheRedPegasus
642,"""Wizard fish"" - Cassie",TheRedPegasus
643,"""Work aholic fish"" - Cassie",TheRedPegasus
644,"""TuRkEy"" - Cassie",TheRedPegasus
645,"""I summoned pancakes"" - Cassie",TheRedPegasus
646,🎉 **| Mega sus** leveled up!,OwO
647,"""I can summon pancakes"" - Cassie",TheRedPegasus
648,"""Keep your filthy hands away from my beautiful quotes"" - Ritvik",Briannafr
649,“Alan install China” - David,MuffinHead
650,“Why don’t we get a holiday on Chinese New Year?” - David “Because we’re not in China” - Karthik,MuffinHead
651,"""People are having babies now 👀 "" - Mathew",braindead
652,"""Don't dislocate ur hands waving"" - Ritvik *DISLOCATEING HANDS INTENSIFI* - Cassie",TheRedPegasus
653,"""i have between 8000 to 10000 tastebuds, but only one braincell"" -cassie",WaltDisini
654,"*draws cat*, ""you like the cat?????"" *cassie writes NO*, ""you spelt meow wrong :D""- Disini",Briannafr
655,"""this is such a weird fact to know when there's 8 minutes till my test"" - Disini",Briannafr
656,“thats what i told ameera on our wedding day” - Disini,Ritvikisalive
657,"“After playing aarohi, can I have a turn?” -Matthew",Aarohi
658,"""i need to play aarohi""-Karthik",NitroNith
659,"""Oh yess daddy cumm all over mee"" - Aarohi",Memebrane
660,"""And karthik was like OML IMMA DO THIS RIGHT, goes on a mission, comes back with no answers, whatsoever"" - ameera",Briannafr
661,“If texting was a subject I would be kicked out of the class” - Zoe,Ritvikisalive
662,“Wanna see my art?? Well its not really art” - Cassie,braindead
663,“Cj *hendy*” - Cassie,braindead
664,“I don’t need u” *in british* - Ameera,Ritvikisalive
665,“I have the British guy for methods” - Karthik,Ritvikisalive
666,“Yes take offence karthik” - Ameera,Ritvikisalive
667,“It’s like the abc of plane driving” - Karthik,Ritvikisalive
668,“You freeze it duh” - Ritvik,Ritvikisalive
669,"""deaths cousin?  whos jeff"" - Karthik",Ritvikisalive
670,"""🎵 A spoon full of sugar helps Ameera's sugar high🎵 "" - Ritvik",MuffinHead
671,"""WoBbLe WoBbLe"" - Ritvik",MuffinHead
672,“Are u able to use your vocal cords” - Karthik,Ritvikisalive
673,"""so ur high on grapes taejus is high on salt and im high on oxygen. together we make the high bros"" - Ritvik",Ritvikisalive
674,“Form the nazi what?” - Karthik,Ritvikisalive
675,“I’m grape high” - Karthik,Ritvikisalive
676,“Janepeg” - Rirvik,Ritvikisalive
677,“Why did I save this” - Karthik,Ritvikisalive
678,“Wait how long am I supposed to take” - Karthik,Ritvikisalive
679,"""Why is this grape so small"" - Karthik",Ritvikisalive
680,"""why was the last thing i made on powerpoint in march"" - Karthik",Ritvikisalive
681,“Sorry I’m chocking on my what” - Karthik,Ritvikisalive
682,"""Well that's true I don't have cheese"" - Ritvik",MuffinHead
683,"""My pHoYnE"" - Ritvik",MuffinHead
684,"""When in doubt send a watermelon"" - Taejus",braindead
685,"""The fingers on my feet are tingling"" - Ameera",Ritvikisalive
686,“Ima find this Medvedev and impale the menace with seventeen different bricks” - Taejus,braindead
687,“Goddamn it’s house outside” - Karthik,Ritvikisalive
688,“And Ritvik’s Ritvik-ed” - Karthik,Ritvikisalive
689,“I go there and stare at plants” - Ameera,Ritvikisalive
690,"""U KIRBY SOUNDING NON KIRBY SOUNDER"" - Ritvik",Ritvikisalive
691,"""Did i just write a whole essay for one question? yes"" - Karthik",Ritvikisalive
692,"""He told me he was about to throw a chair"" - Ameera",Ritvikisalive
693,"""Im going to shut up until i get english back"" - Karthik",Ritvikisalive
694,"""Last night was crazy"" - Ameera",Ritvikisalive
695,"""Im HiGh cAn YoU tElL"" - Karthik",Ritvikisalive
696,"""Cause the speakers"" - Ameera",Ritvikisalive
697,"""Earth, Orbit 3 of Solar System, Orion Arm, Milky way Galaxy, Universe"" - Karthik",Ritvikisalive
698,“ArT nuGgEt” - Ritvik,Ritvikisalive
699,"""Everyone is obsessed with my nuts"" -Ahmed",Aarohi
700,"""your an error
404 not found"" - Ahmed",Ritvikisalive
701,"""SuCh A gReAt QuOtE oPeRtUiNiTy"" - Ritvik",MuffinHead
702,"""Gfs"" - Cassidy clasp",Ritvikisalive
703,"""Why you gotta be 2006-ist"" - Karthik",Ritvikisalive
704,"""why u gotta be agist"" - Ritvik",Ritvikisalive
705,"""I’m my book yes"" - Mathew",Ritvikisalive
706,“Why in the name of wet ducks would it be jonathan” - Ameera,MuffinHead
707,“Just to clean up Ali’s dead body” - Nith,braindead
708,“whats ur venmo imma send u pictures” - Ritvik,MuffinHead
709,“Wait isn’t that the same thing you just said?” - Karthik,Ritvikisalive
710,"“Unfortunately, physics = gibberish” - Karthik",Ritvikisalive
711,“No I’m speaking physics” - Karthik,Ritvikisalive
712,“Help Karthik’s speaking gibberish again” - Ritvik,Ritvikisalive
713,"“I forgot what a wall was, …
And walked into it” - Zoe",Ritvikisalive
714,"""the fish is a masochist"" - Cassie",braindead
715,"""It wants to be roasted"" - Cassie",MuffinHead
716,"""is the wizard fishy being cooked?!?"" - Karthik",braindead
717,"""Now shush"" - Ahmed",MuffinHead
718,"""We went from 'sheesh' to 'shesh' to 'sHaSh'"" - Karthik",MuffinHead
719,“That was surprisingly good boat pizza” - Zoe,Ritvikisalive
720,"""Imma go back into my laptop "" - Karthik",Ritvikisalive
721,“I should get a Nobel prize for my humaness” -Ahmed Zahid😈,Aarohi
722,“I agree with the duck obsessed woman” - Ritvik,Ritvikisalive
723,“WHY DOES MY KEYBOARD KEEP CHANGING TO FRICKN SPANISH” - Ritvik,braindead
724,"""why are we ameera?"" - Karthik",Ritvikisalive
725,"""Fire on a stick"" - Karthik",MuffinHead
726,"""I just heard ur microwave singing jingle bells"" - Karthik",Ritvikisalive
727,"""I can't speak australian"" - Karthik",Ritvikisalive
728,“Cause ur a rubix cube” - Ritvik,MuffinHead
729,“BUT INSTEAD I WAS LIKE OOH LETS SEE WHAT HE SENT ME” - Ameera,Ritvikisalive
730,"""#Nitanthneedstogobald"" - Ritvik",Ritvikisalive
731,"""Imma go change my dress"" - Karthik",Ritvikisalive
732,“The sad life of me” - Zoe,Ritvikisalive
733,“Vaideeswaran get your ass back here” - Merza Ameera,Ritvikisalive
734,"""I already murdered someone"" - Karthik",Ritvikisalive
735,"""Or ring up Shyam to slap the living duck kettles out of me"" - TaEjUs",Ritvikisalive
736,"""I ate a nose"" - Karthik",Ritvikisalive
737,“Yes u do” - Ritvik,Ritvikisalive
738,“I don’t want to be a butcher” - Ameera,Ritvikisalive
739,"""no i need those"" - Ameera",Ritvikisalive
740,“Why do u have beens in ur hand” - Ameera,Ritvikisalive
741,"""Farts, lol. Yea the engine of the body"" - Mathew",Ritvikisalive
742,“Hoping to Hitler the 2nd it won’t” - Taejus,MuffinHead
743,"“I had a sacred fuckwit, named Shyam” - Taejus",MuffinHead
744,“How the living duck fuck do you know that” - Taejus,MuffinHead
745,"""If Leg=Arm Arm = Leg"" - Karthik",Ritvikisalive
746,*switches off lamp*,braindead
747,"""NO LAMP"" - Ameera",MuffinHead
748,“NO SHIT UP” - Ameera,Ritvikisalive
749,“You are honour” - Ameera *then re said by Ritvik*,Ritvikisalive
750,"“It’s great when you have a victim”, “Let’s take Shyam for example” - Taejus",braindead
751,*proceeds to call practically everyone*,braindead
752,“Fat finger” - Ahmed,Ritvikisalive
753,“I needed autocorrect to correct autocorrect._.” - Taejus,braindead
754,,braindead
755,"“Coconuts are basically mamals, they grow hair and make milk” - Ritvik",braindead
756,“We code“ - Zoe,Ritvikisalive
757,“I’ll get 000 on speed dial” - Ritvik,Ritvikisalive
758,"“Yea well I’m kind, funny and I make jokes when I’m uncomfortable” - Mathew",braindead
759,*tps to the top of farm* - Karthik *Pushes back into hole that he tped from* - Ritvik,Ritvikisalive
760,"“WHY DOES Y = λ ?!?”, “Oh wait wrong question -_-“ - Karthik",braindead
761,"""Find out next time on “what am i trying to prove??”, with your host- Karthik Vaideeswaran"" - AmEeRa",Ritvikisalive
762,"“You know what i just mathematically proved?”, “1 equals 1!!” - Karthik",braindead
763,“*cries* I’ve been out Pepe-d” - Zoe,Ritvikisalive
764,"""I just had to die once"" - Karthik",Ritvikisalive
765,“For what? Idfk why u asking me” - Ritvik,Ritvikisalive
766,"""Wheres the end button????!?!?!?!?!?"" - Ameera",Ritvikisalive
767,“MY WASHING MACHINE IS SINGING” - Nitanth,braindead
768,“It’s nitanth-“ - Karthik,braindead
769,“Who is it now?! It better not be nitanth” - Ritvik,braindead
770,“Ah yes the lovely sounds of chickens dying” - Ritvik,braindead
771,“Why you making eggs??” - Ritvik,braindead
772,*tries to sheer door*,braindead
773,"“We have no wool” - Karthik, “Then go sheer a sheep you lazy ass muther trucker” - Ritvik",braindead
774,“We have no walls” - Karthik,braindead
